Times (us),interval (us),strain (raw),sensorValue0 (raw)
4876208,12500,2299280,297
4888712,12504,2300833,297
4901212,12500,2298672,297
4913712,12500,2295185,297
4926216,12504,2294734,297
4938716,12500,2297943,297
4951220,12504,2299196,297
4963720,12500,2296194,297
4976220,12500,2295366,297
4988720,12500,2297062,297
5001220,12500,2299105,297
5013724,12504,2299225,296
5026224,12500,2297488,297
5038724,12500,2295745,297
5051224,12500,2295762,296
5063728,12504,2299264,296
5076228,12500,2298849,297
5088728,12500,2296931,297
5101228,12500,2295903,296
5113732,12504,2297110,296
5126232,12500,2299089,296
5138736,12504,2299280,296
5151236,12500,2297438,296
5163736,12500,2295986,296
5176236,12500,2298535,296
5188736,12500,2299596,296
5201236,12500,2297988,296
5213736,12500,2295869,295
5226236,12500,2295746,296
5238740,12504,2297640,296
5251240,12500,2299300,296
5263740,12500,2298918,295
5276244,12504,2295572,296
5288744,12500,2296486,296
5301244,12500,2298685,296
5313744,12500,2299342,295
5326248,12504,2297801,296
5338748,12500,2295841,296
5351252,12504,2295855,296
5363756,12504,2297837,295
5376256,12500,2298582,295
5388756,12500,2296517,295
5401256,12500,2295672,295
5413756,12500,2296779,295
5426256,12500,2298407,295
5438756,12500,2298842,295
5451260,12504,2297794,295
5463760,12500,2296435,295
5476260,12500,2296328,295
5488760,12500,2298634,295
5501260,12500,2298369,295
5513760,12500,2297007,295
5526260,12500,2296002,295
5538764,12504,2296407,295
5551264,12500,2298066,295
5563764,12500,2299025,294
5576264,12500,2298044,295
5588764,12500,2295978,295
5601264,12500,2297322,295
5613768,12504,2298912,294
5626268,12500,2298689,294
5638768,12500,2296767,295
5651268,12500,2295345,294
5663772,12504,2296261,294
5676272,12500,2298637,294
5688772,12500,-976767,294
5711252,22480,2296267,294
5723752,12500,2297965,294
5736256,12504,2299000,294
5748756,12500,2298224,294
5761256,12500,2296545,294
5773756,12500,2295651,294
5786260,12504,2296786,294
5798760,12500,2298935,294
5811264,12504,2299439,294
5823764,12500,2295624,294
5836268,12504,2295764,294
5848768,12500,2297747,294
5861272,12504,2299367,294
5873776,12504,2298434,294
5886276,12500,2295983,294
5898776,12500,2295259,294
5911276,12500,2297063,294
5923780,12504,2298772,294
5936280,12500,2296738,294
5948784,12504,2295479,293
5961284,12500,2296572,293
5973784,12500,2298620,294
5986288,12504,2299155,294
5998788,12500,2297646,293
6011288,12500,2295942,293
6023792,12504,2295834,294
6036292,12500,2299069,294
6048792,12500,2298407,293
6061292,12500,2296378,293
6073792,12500,2295547,293
6086292,12500,2296669,293
6098792,12500,2298603,293
6111292,12500,2299108,293
6123796,12504,2297436,293
6136300,12504,2295700,293
6148800,12500,2297809,293
6161300,12500,2299474,293
6173804,12504,2298818,293
6186304,12500,2296483,293
6198804,12500,2295217,293
6211304,12500,2296527,293
6223808,12504,2298693,293
6236312,12504,2299253,293
6248812,12500,2295403,293
6261316,12504,2295666,293
6273816,12500,2297809,293
6286316,12500,2299385,293
6298816,12500,2298557,293
6311316,12500,2296318,293
6323820,12504,2295266,293
6336324,12504,2296489,293
6348824,12500,2299054,293
6361324,12500,2297406,292
6373824,12500,2295758,292
6386324,12500,2296113,293
6398824,12500,2298036,293
6411324,12500,2299209,292
6423824,12500,2298382,292
6436324,12500,2296487,293
6448824,12500,2295573,293
6461324,12500,2298430,292
6473824,12500,2298840,292
6486324,12500,2297430,293
6498824,12500,2295875,292
6511324,12500,2296173,292
6523824,12500,2297815,292
6536328,12504,2298877,293
6548828,12500,2298237,292
6561332,12504,2295785,292
6573836,12504,2296898,292
6586340,12504,2298464,292
6598844,12504,2298659,292
6611348,12504,2297311,292
6623848,12500,2296022,292
6636348,12500,2296276,292
6648848,12500,2297776,292
6661348,12500,2298094,292
6673848,12500,2296617,292
6686348,12500,2296011,292
6698848,12500,2297017,292
6711352,12504,2298323,292
6723852,12500,2298336,292
6736356,12504,2296835,292
6748860,12504,2295713,292
6761364,12504,2296342,292
6773868,12504,2298567,292
6786368,12500,2297633,292
6798868,12500,2296028,292
