Times (us),interval (us),strain (raw),sensorValue0 (raw)
6901300,12500,3784603,292
6913804,12504,3833890,291
6926304,12500,3885309,292
6938804,12500,3937272,292
6951304,12500,3988516,292
6963804,12500,4080737,291
6976304,12500,4119695,292
6988808,12504,4154818,292
7001308,12500,4188662,292
7013808,12500,4223352,291
7026308,12500,4258621,291
7038808,12500,4293688,292
7051308,12500,4327015,291
7063808,12500,4357587,291
7076308,12500,4409405,291
7088808,12500,4432294,292
7101308,12500,4453651,291
7113808,12500,4473940,291
7126312,12504,4491723,291
7138812,12500,4505855,292
7151316,12504,4517227,291
7163816,12500,4527228,291
7176316,12500,4550887,291
7188816,12500,4563275,291
7201320,12504,4576152,291
7213820,12500,4589940,291
7226320,12500,4605459,291
7238824,12504,4622742,291
7251324,12500,4641303,291
7263828,12504,4660167,291
7276328,12500,4691125,291
7288828,12500,4702586,291
7301332,12504,4711360,291
7313832,12500,4719449,291
7326332,12500,4728970,291
7338832,12500,4739455,291
7351336,12504,4750498,291
7363840,12504,4761349,290
7376344,12504,4770839,291
7388844,12500,4786372,291
7401348,12504,4794642,291
7413852,12504,4803988,291
7426352,12500,4813674,291
7438852,12500,4822690,291
7451352,12500,4830672,291
7463852,12500,4837732,291
7476356,12504,4843584,291
7488856,12500,4847871,291
7501356,12500,4843954,291
7513856,12500,4833613,291
7526356,12500,4816597,291
7538856,12500,4792430,291
7551360,12504,4760473,291
7563864,12504,4719264,291
7576364,12500,4667512,291
7588872,12508,4603273,291
7601376,12504,4431372,291
7613880,12504,4324438,291
7626380,12500,4204861,291
7638880,12500,4075431,291
7651380,12500,3938612,291
7663880,12500,3796965,291
7676380,12500,3652599,291
7688884,12504,3508766,291
7701384,12500,3237502,291
7713888,12504,3115316,291
7726388,12500,3004940,291
7738888,12500,2906827,291
7751388,12500,2822823,291
7763888,12500,2753232,291
7776392,12504,2693909,291
7788892,12500,2641841,291
7801392,12500,2596519,291
7813896,12504,2514556,291
7826396,12500,2475333,291
7838896,12500,2439409,291
7851400,12504,2403150,291
7863900,12500,2365767,291
7876404,12504,2332231,291
7888908,12504,2304813,291
7901408,12500,2285436,291
7913908,12500,2273903,291
7926412,12504,2275942,291
7938912,12500,2278308,291
7951412,12500,2280617,291
7963916,12504,2285832,291
7976416,12500,2292320,291
7988916,12500,2301291,291
8001416,12500,2313945,291
8013916,12500,2328824,291
8026416,12500,2353465,291
8038916,12500,2361004,291
8051416,12500,2365880,291
8063916,12500,2368827,291
8076416,12500,2370320,291
8088920,12504,2370932,291
8101424,12504,2371777,291
8113928,12504,2373282,291
8126432,12504,2376896,291
8138936,12504,2379159,291
8151436,12500,2381177,291
8163936,12500,2382609,291
8176436,12500,2383718,291
8188940,12504,2385149,291
8201440,12500,2386071,291
8213940,12500,2386526,291
8226440,12500,2386865,291
8238940,12500,2388891,291
8251444,12504,2390928,291
8263948,12504,2392796,291
8276448,12500,2394418,291
8288952,12504,2396065,291
8301456,12504,2396640,291
8313960,12504,2396132,291
8326460,12500,2396123,291
8338964,12504,2397786,291
8351468,12504,2398826,291
8363968,12500,2400159,291
8376472,12504,2401623,291
8388972,12500,2403217,291
8401476,12504,2404092,291
8413980,12504,2404289,291
8426484,12504,2404131,291
8438984,12500,2405626,291
8451484,12500,2406907,291
8463984,12500,2408376,291
8476484,12500,2409771,291
8488988,12504,2410518,291
8501488,12500,2410427,291
8513988,12500,2409843,291
8526488,12500,2409352,290
8538988,12500,2408883,291
8551492,12504,2409518,291
8563992,12500,2410457,291
8576496,12504,2412188,291
8589000,12504,2414149,291
8601500,12500,2415854,291
8614004,12504,2417646,291
8626504,12500,2419137,291
8639004,12500,2420241,291
8651504,12500,2423457,291
8664004,12500,2425983,291
8676508,12504,2430146,291
