Times (us),interval (us),strain (raw),sensorValue0 (raw)
4241196,12500,2391581,300
4253700,12504,2395315,299
4266204,12504,2397652,299
4278708,12504,2397733,300
4291208,12500,2395684,299
4303712,12504,2388473,299
4316212,12500,2385470,299
4328712,12500,2384218,299
4341212,12500,2385014,299
4353712,12500,2387787,298
4366216,12504,2391659,298
4378716,12500,2395195,299
4391216,12500,2397391,299
4403720,12504,2395847,298
4416220,12500,2392485,298
4428720,12500,2388701,298
4441220,12500,2385702,298
4453724,12504,2384314,298
4466224,12500,2385182,298
4478728,12504,2387969,298
4491228,12500,2391456,298
4503732,12504,2397264,297
4516236,12504,2397376,297
4528736,12500,2395516,298
4541236,12500,2392236,298
4553736,12500,2388587,297
4566236,12500,2385728,297
4578740,12504,2384521,298
4591244,12504,2385274,297
4603744,12500,2387863,297
4616248,12504,2394862,297
4628748,12500,2396944,297
4641252,12504,2397151,297
4653752,12500,2395332,297
4666252,12500,2392169,296
4678756,12504,2388611,297
4691256,12500,2385779,297
4703760,12504,2384584,296
4716260,12500,2388164,296
4728760,12500,2391460,297
4741260,12500,2394596,297
4753760,12500,2396602,296
4766260,12500,2397007,296
4778760,12500,2395215,296
4791260,12500,2392118,296
4803760,12500,2388524,296
4816264,12504,2385733,296
4828764,12500,2385251,296
4841264,12500,2387846,296
4853764,12500,2391209,295
4866264,12500,2394332,295
4878768,12504,2396343,296
4891268,12500,2396432,296
4903768,12500,2394761,295
4916268,12500,2391916,295
4928772,12504,2385798,295
4941272,12500,2384546,296
4953772,12500,2385299,295
4966272,12500,2387709,295
4978776,12504,2391046,295
4991276,12500,2394217,296
5003776,12500,2396199,295
5016276,12500,2396526,295
5028780,12504,2394924,295
5041284,12504,2388366,295
5053788,12504,2385800,295
5066288,12500,2384750,294
5078788,12500,2385555,295
5091288,12500,2387924,295
5103788,12500,2391205,294
5116288,12500,2394119,294
5128788,12500,2395984,294
5141288,12500,2394846,295
5153796,12508,2391864,294
5166296,12500,2388542,294
5178796,12500,2385983,294
5191300,12504,2384883,294
5203800,12500,2385595,294
5216300,12500,2388041,293
5228800,12500,2391117,294
5241300,12500,2394114,294
5253804,12504,2395967,294
5266304,12500,2394343,293
5278804,12500,2391643,294
5291304,12500,2388689,294
5303804,12500,2386264,294
5316304,12500,2385160,293
5328808,12504,2385687,294
5341308,12500,2387688,294
5353812,12504,2393417,293
5366312,12500,2395340,293
5378812,12500,2395799,293
5391316,12504,2394679,294
5403816,12500,2392177,293
5416316,12500,2389232,293
5428816,12500,2386589,293
5441316,12500,2385087,294
5453816,12500,2385208,293
5466320,12504,2389987,292
5478820,12500,2392930,293
5491320,12500,2395274,293
5503820,12500,2395876,293
5516320,12500,2394796,292
5528824,12504,2392386,293
5541324,12500,2389268,293
5553824,12500,2386368,293
5566324,12500,2384982,292
5578824,12500,2386973,293
5591324,12500,2390171,293
5603824,12500,2393257,293
5616324,12500,2395485,292
5628828,12504,2396096,292
5641332,12504,2394896,293
5653832,12500,2392019,293
5666332,12500,2388580,292
5678836,12504,2384413,292
5691336,12500,2384839,293
5703836,12500,2387164,292
5716336,12500,2390549,292
5728836,12500,2393492,292
5741336,12500,2395340,293
5753836,12500,2395926,292
5766340,12504,2394670,292
5778840,12500,2388856,292
5791344,12504,2386147,293
5803848,12504,2384719,292
5816348,12500,2385237,292
5828852,12504,2387253,292
5841352,12500,2390271,293
5853852,12500,2393357,292
5866356,12504,2395490,292
5878856,12500,2394624,292
5891356,12500,2391867,292
5903856,12500,2388726,292
5916356,12500,2386020,291
5928860,12504,2384732,292
5941360,12500,2385265,292
5953864,12504,2387483,292
5966364,12500,2390562,291
5978864,12500,2393324,292
5991368,12504,2395495,292
6003872,12504,2394199,292
6016376,12504,2391670,291
6028876,12500,2388898,291
6041376,12500,2386486,292
6053880,12504,2385231,292
6066380,12500,2385566,291
6078880,12500,2387434,291
6091380,12500,2392937,292
6103880,12500,2394803,292
6116380,12500,2395451,291
6128880,12500,2394386,291
6141380,12500,2391996,292
6153884,12504,2389168,292
6166384,12500,2386706,291
6178884,12500,2385176,291
6191384,12500,2385323,292
6203884,12500,2389897,292
6216384,12500,2392835,291
6228884,12500,2394948,291
6241388,12504,2395511,292
6253888,12500,2394499,292
6266388,12500,2391961,291
6278892,12504,2388745,291
6291392,12500,2386048,292
6303892,12500,2385410,292
6316392,12500,2387589,291
6328892,12500,2390570,291
6341392,12500,2393221,292
6353892,12500,2395037,292
6366392,12500,2395257,291
6378892,12500,2393714,291
6391392,12500,2391053,292
6403892,12500,2388274,292
6416392,12500,2385368,291
6428892,12500,2386164,291
6441396,12504,2388185,292
6453896,12500,2390744,292
6466396,12500,2392988,291
6478900,12504,2394405,291
6491400,12500,2394564,292
6503900,12500,2393235,292
6516400,12500,2389035,291
6528900,12500,2386803,291
6541400,12500,2385705,292
6553900,12500,2385923,292
6566400,12500,2387460,291
6578900,12500,2389850,291
6591400,12500,2392373,292
6603904,12504,2394111,292
6616408,12504,2394528,291
6628912,12504,2391850,291
6641416,12504,2389141,292
6653916,12500,2386771,292
6666416,12500,2385329,291
6678920,12504,2385531,291
6691424,12504,2387193,292
6703928,12504,2389709,292
6716428,12500,2392370,291
6728928,12500,2395075,291
6741428,12500,2393990,292
6753928,12500,2391673,292
6766432,12504,2388957,291
6778932,12500,2386500,291
6791436,12504,2385155,291
6803936,12500,2385377,291
6816436,12500,2387256,291
6828936,12500,2389885,291
6841436,12500,2394428,291
6853936,12500,2394968,292
6866436,12500,2393969,291
6878936,12500,2391603,291
6891436,12500,2388728,291
6903936,12500,2386526,291
6916436,12500,2385419,291
6928940,12504,2385754,291
6941440,12500,2390076,291
6953940,12500,2392624,291
6966444,12504,2394349,291
6978944,12500,2394702,290
6991448,12504,2393768,291
7003952,12504,2391696,291
7016456,12504,2389013,290
7028960,12504,2386606,290
7041460,12500,2385608,291
7053964,12504,2387347,291
7066464,12500,2389838,290
7078964,12500,2392420,290
7091464,12500,2394229,291
7103964,12500,2394484,291
7116464,12500,2393321,290
7128968,12504,2391347,290
7141472,12504,2389206,291
7153976,12504,2385883,291
7166476,12500,2386036,290
7178980,12504,2387392,290
7191480,12500,2389503,290
7203980,12500,2391602,291
7216480,12500,2393402,290
7228980,12500,2394299,290
7241480,12500,2393834,290
7253980,12500,2389703,291
7266484,12504,2387404,290
7278984,12500,2385842,290
7291488,12504,2385742,290
7303988,12500,2386927,291
7316492,12504,2389043,290
7328992,12500,2391683,290
7341492,12500,2393625,290
7353992,12500,2394558,291
