Time (ms),Sensor 0 (raw),Sensor 1 (raw),Sensor 2 (raw)
3636,272,268,262
3640,277,272,267
3644,279,275,270
3648,279,275,270
3652,277,274,271
3656,273,272,269
3660,268,267,265
3664,264,262,261
3668,260,258,257
3672,259,257,255
3676,260,257,254
3680,263,258,254
3684,266,262,257
3688,271,266,261
3692,275,270,265
3696,278,273,268
3700,279,274,270
3704,278,275,271
3708,274,272,270
3712,271,269,267
3716,267,265,263
3720,263,261,260
3724,261,259,257
3728,260,258,255
3732,262,258,254
3736,265,261,257
3740,269,265,260
3744,274,269,263
3748,276,272,266
3752,278,274,269
3756,278,275,271
3760,276,273,270
3764,272,270,267
3768,268,266,264
3772,264,263,261
3776,261,259,258
3780,260,257,255
3784,261,258,254
3788,264,261,257
3792,269,264,259
3796,273,267,262
3800,275,270,265
3804,278,274,269
3808,278,275,270
3812,276,273,270
3816,273,270,268
3820,269,267,265
3824,265,264,262
3828,262,260,258
3832,261,258,256
3836,262,259,256
3840,263,260,256
3844,267,262,258
3848,271,265,260
3852,274,269,264
3856,276,272,267
3860,277,273,268
3864,276,272,268
3868,273,271,268
3872,270,268,266
3876,267,265,263
3880,264,262,260
3884,263,260,258
3888,263,260,257
3892,264,260,257
3896,267,262,258
3900,269,265,260
3904,272,269,264
3908,274,271,266
3912,276,271,267
3916,275,272,268
3920,273,271,268
3924,271,269,266
3928,269,266,264
3932,266,264,261
3936,264,262,260
3940,264,261,259
3944,264,261,258
3948,266,261,258
3952,268,264,260
3956,271,267,263
3960,273,269,264
3964,275,270,265
3968,275,271,267
3972,274,271,267
3976,272,269,266
3980,270,267,264
3984,267,265,262
3988,266,264,261
3992,265,262,259
3996,265,261,258
4000,265,262,258
4004,267,264,260
4008,269,265,261
4012,271,266,262
4016,272,268,263
4020,273,270,265
4024,273,270,266
4028,272,269,265
4032,270,268,264
4036,269,267,264
4040,268,265,263
4044,266,263,261
4048,266,263,260
4052,266,263,260
4056,267,264,260
4060,268,264,260
4064,270,265,261
4068,271,267,263
4072,272,269,264
4076,273,269,265
4080,272,269,265
4084,271,269,265
4088,270,268,265
4092,268,266,263
4096,268,264,262
4100,266,264,261
4104,266,264,261
4108,266,263,260
4112,267,263,260
4116,268,264,260
4120,269,266,262
4124,271,268,264
4128,272,268,264
4132,272,268,264
4136,272,269,265
4140,272,269,265
4144,271,267,264
4148,269,266,263
4152,267,265,262
4156,267,264,261
4160,266,263,260
4164,266,263,259
4168,267,264,260
4172,268,266,262
4176,270,266,262
4180,272,267,263
4184,272,268,264
4188,272,270,266
4192,272,269,265
4196,270,267,264
4200,269,266,263
4204,268,266,263
4208,267,264,261
4212,267,263,260
4216,267,264,260
4220,268,265,261
4224,268,265,261
4228,270,266,262
4232,271,267,263
4236,272,268,264
4240,272,269,265
4244,271,268,264
4248,271,267,264
4252,269,267,264
4256,268,266,263
4260,267,264,261
4264,267,264,260
4268,267,264,261
4272,267,265,261
4276,269,265,261
4280,269,265,261
4284,270,266,262
4288,271,268,264
4292,271,268,264
4296,271,267,264
4300,271,268,264
4304,270,268,265
4308,269,266,263
4312,268,265,262
4316,268,265,261
4320,268,265,262
4324,268,265,262
4328,268,264,261
4332,269,265,261
4336,269,266,262
4340,270,267,263
4344,271,267,263
4348,271,267,263
4352,271,268,264
4356,270,268,264
4360,270,267,264
4364,269,265,262
4368,269,266,262
4372,268,266,262
4376,268,265,262
4380,268,264,261
4384,268,265,261
4388,269,266,262
4392,270,266,262
4396,270,266,262
4400,271,267,263
4404,271,268,264
4408,271,268,264
4412,270,266,263
4416,270,266,263
4420,269,267,263
4424,268,266,263
4428,268,264,261
4432,268,264,261
4436,267,265,262
4440,268,265,262
4444,269,266,262
4448,270,266,262
4452,270,267,263
4456,271,268,264
4460,271,267,264
4464,271,267,263
4468,270,267,263
4472,269,267,264
4476,268,266,263
4480,268,265,261
4484,267,264,261
4488,268,265,262
4492,268,265,261
4496,269,265,261
4500,269,265,261
4504,271,267,264
4508,271,268,264
4512,271,267,263
4516,271,267,263
4520,270,268,264
4524,270,267,264
4528,269,266,263
4532,268,265,261
4536,267,265,262
4540,268,266,262
4544,267,264,261
4548,268,264,260
4552,269,266,262
4556,271,268,264
4560,271,267,264
4564,272,267,263
4568,271,268,264
4572,270,268,265
4576,270,267,264
4580,269,265,262
4584,268,265,261
4588,267,265,262
4592,267,264,261
4596,268,263,260
4600,268,264,260
