Time (ms),Sensor 0 (raw),Sensor 1 (raw),Sensor 2 (raw)
2416,269,266,263
2420,268,265,261
2424,269,266,262
2428,269,267,263
2432,270,267,263
2436,270,266,262
2440,271,267,263
2444,272,269,265
2448,272,269,265
2452,272,267,264
2456,271,267,264
2460,270,269,265
2464,271,268,265
2468,272,267,264
2472,272,268,264
2476,273,271,266
2480,275,272,268
2484,275,271,267
2488,276,272,267
2492,276,273,269
2496,277,273,270
2500,276,272,269
2504,277,272,268
2508,275,273,269
2512,273,272,269
2516,271,268,266
2520,268,265,263
2524,265,263,261
2528,263,262,260
2532,261,259,257
2536,260,257,254
2540,260,257,254
2544,261,259,256
2548,262,259,256
2552,264,259,255
2556,266,262,257
2560,267,264,260
2564,269,265,261
2568,270,265,261
2572,271,266,262
2576,271,268,264
2580,273,269,265
2584,274,269,265
2588,276,271,267
2592,278,274,270
2596,279,276,272
2600,278,274,271
2604,277,273,270
2608,275,273,270
2612,273,272,269
2616,271,268,266
2620,269,265,263
2624,266,264,261
2628,264,263,261
2632,263,260,258
2636,263,259,256
2640,263,260,256
2644,264,261,258
2648,265,262,258
2652,266,261,257
2656,267,263,259
2660,268,265,261
2664,270,266,262
2668,271,266,262
2672,272,268,263
2676,274,271,266
2680,276,272,268
2684,277,272,268
2688,277,272,268
2692,275,273,269
2696,274,272,269
2700,272,268,266
2704,269,265,263
2708,266,265,262
2712,265,264,262
2716,265,261,259
2720,265,260,257
2724,265,262,259
2728,266,264,260
2732,266,263,259
2736,267,262,258
2740,268,264,260
2744,270,266,262
2748,269,266,262
2752,269,265,261
2756,269,266,262
2760,269,267,264
2764,269,266,263
2768,269,265,261
2772,269,265,262
2776,269,266,263
2780,268,266,263
2784,267,264,260
2788,267,263,260
2792,267,264,261
2796,267,265,261
2800,266,262,259
2804,265,262,258
2808,264,262,259
2812,262,261,258
2816,261,258,256
2820,259,256,253
2824,257,255,252
2828,256,254,252
2832,256,252,250
2836,257,252,249
2840,259,255,251
2844,260,257,253
2848,260,257,253
2852,259,255,251
2856,258,254,251
2860,256,255,252
2864,256,254,251
2868,257,253,249
2872,260,256,251
2876,263,260,255
2880,271,265,259
2884,286,276,268
2888,303,292,281
2892,300,297,289
2896,254,265,271
2900,275,268,267
2904,223,234,242
2908,260,249,245
2912,168,190,206
2916,109,135,158
2920,37,71,102
2924,14,36,61
2928,40,46,54
2932,402,290,211
2936,560,472,381
2940,627,575,505
2944,647,623,578
2948,659,646,619
2952,646,641,630
2956,471,520,552
2960,202,299,380
2964,62,141,222
2968,21,63,121
2972,9,29,64
2976,6,17,36
2980,5,14,25
2984,94,73,57
2988,303,230,170
2992,514,422,335
2996,611,550,474
3000,646,614,562
3004,659,642,610
3008,625,625,616
3012,463,508,540
3016,176,279,364
3020,54,129,208
3024,19,56,112
3028,9,27,61
3032,7,16,34
3036,5,13,23
3040,85,64,50
3044,294,223,164
3048,531,432,340
3052,618,556,479
3056,648,616,565
3060,660,644,613
3064,631,631,621
3068,388,460,509
3072,205,282,356
3076,64,136,209
3080,22,61,116
3084,10,30,63
3088,6,17,36
3092,23,24,30
3096,108,83,66
3100,387,292,215
3104,561,473,383
3108,627,576,506
3112,652,626,581
3116,660,647,621
3120,591,603,605
3124,377,444,493
3128,166,252,331
3132,52,119,191
3136,18,53,104
3140,9,26,56
3144,6,16,33
3148,40,36,37
3152,209,155,114
3156,424,337,260
3160,556,485,406
3164,626,580,517
3168,651,626,585
3172,648,637,615
3176,504,541,561
3180,305,376,435
3184,109,194,273
3188,35,88,153
3192,13,40,82
3196,7,22,46
3200,11,18,30
3204,70,55,48
3208,250,189,140
3212,434,355,280
