Times (us),interval (us),strain (raw),sensorValue0 (raw)
9811572,12500,2301915,290
9824072,12500,2264719,289
9836576,12504,2241335,289
9849076,12500,2282151,289
9861580,12504,2279138,290
9874080,12500,2251694,289
9886580,12500,2244078,289
9899084,12504,2267687,289
9911584,12500,2283933,289
9924088,12504,2267474,289
9936588,12500,2245524,289
9949088,12500,2276448,289
9961592,12504,2278766,290
9974092,12500,2257235,289
9986592,12500,2246627,289
9999092,12500,2262812,289
10011596,12504,2279262,289
10024096,12500,2270779,289
10036596,12500,2251487,288
10049096,12500,2251455,289
10061600,12504,2277743,289
10074100,12500,2262903,289
10086600,12500,2249317,288
10099100,12500,2258030,289
10111604,12504,2274869,289
10124104,12500,2273548,289
10136604,12500,2256444,288
10149104,12500,2250577,289
10161604,12500,2276488,289
10174104,12500,2267417,289
10186604,12500,2252002,288
10199104,12500,2254708,289
10211608,12504,2271188,289
10224112,12504,2275094,289
10236612,12500,2260493,288
10249112,12500,2250890,289
10261612,12500,-906409,289
10284084,22472,2254913,289
10296588,12504,2253658,289
10309092,12504,2267823,289
10321596,12504,2274697,289
10334100,12504,2263544,289
10346600,12500,2252548,289
10359104,12504,2258859,289
10371604,12500,2271956,289
10384104,12500,2271133,288
10396608,12504,2253676,289
10409108,12500,2264725,289
10421608,12500,2273475,288
10434108,12500,2266185,288
10446608,12500,2254694,289
10459108,12500,2257185,289
10471608,12500,2269494,288
10484108,12500,2271868,288
10496612,12504,2253997,289
10509116,12504,2262244,289
10521616,12500,2271962,288
10534116,12500,2267912,288
10546616,12500,2256661,289
10559116,12500,2256019,289
10571620,12504,2266647,288
10584124,12504,2271692,288
10596624,12500,2263335,288
10609124,12500,2260204,289
10621628,12504,2270259,288
10634128,12500,2269253,288
10646628,12500,2259061,289
10659132,12504,2255706,289
10671636,12504,2264220,288
10684140,12504,2270848,288
10696640,12500,2265573,288
10709140,12500,2258508,289
10721640,12500,2267663,288
10734144,12504,2269998,288
10746648,12504,2261978,288
10759152,12504,2256407,289
10771652,12500,2262004,288
10784152,12500,2269630,288
10796652,12500,2267402,288
10809152,12500,2259133,289
10821652,12500,2265357,288
10834156,12504,2269821,288
10846660,12504,2264166,288
10859164,12504,2257480,288
10871668,12504,2260366,288
10884168,12500,2268128,288
10896668,12500,2268158,288
10909168,12500,2260636,288
10921668,12500,2263732,288
10934168,12500,2269298,288
10946668,12500,2265314,288
10959168,12500,2258336,289
10971668,12500,2259363,288
10984168,12500,2266614,288
10996668,12500,2268412,288
11009168,12500,2262172,289
11021672,12504,2258071,288
11034172,12500,2268355,288
11046672,12500,2266108,288
11059172,12500,2259714,289
11071672,12500,2259414,288
11084172,12500,2265395,288
11096676,12504,2268302,288
11109176,12500,2263792,289
11121676,12500,2259238,288
11134176,12500,2267124,288
11146676,12500,2266861,288
11159180,12504,2261619,289
11171680,12500,2259749,288
11184180,12500,2263836,288
11196680,12500,2267068,288
11209184,12504,2264281,289
11221684,12500,2260012,288
11234184,12500,2260986,288
11246688,12504,2266374,288
11259188,12500,2262376,289
11271688,12500,2259903,288
11284188,12500,2262693,288
11296688,12500,2266516,288
11309188,12500,2265259,289
11321688,12500,2260902,288
11334192,12504,2259984,288
11346692,12500,2266692,288
11359196,12504,2263628,289
11371700,12504,2259932,288
11384200,12500,2261469,288
11396700,12500,2265959,288
11409200,12500,2266147,289
11421700,12500,2261896,288
11434200,12500,2260106,288
11446700,12500,2266456,288
11459200,12500,2264092,289
11471700,12500,2260318,288
11484200,12500,2260880,288
11496700,12500,2264851,288
11509200,12500,2265836,289
11521700,12500,2262366,288
11534200,12500,2259968,288
11546704,12504,2262558,288
11559208,12504,2264437,289
11571708,12500,2261076,288
11584212,12504,2261081,288
11596712,12500,2264253,288
11609212,12500,2265526,289
11621716,12504,2262897,288
11634216,12500,2260862,288
11646716,12500,2262488,288
11659220,12504,2264986,289
11671720,12500,2261886,288
11684220,12500,2261134,288
11696720,12500,2263841,288
11709220,12500,2265651,289
11721720,12500,2263849,288
11734220,12500,2261501,288
11746720,12500,2262270,288
11759220,12500,2264589,289
11771720,12500,2262699,288
11784220,12500,2261243,288
11796720,12500,2262895,288
11809224,12504,2264982,289
11821724,12500,2264109,289
11834228,12504,2261676,288
11846728,12500,2261567,288
11859228,12500,2263786,289
11871728,12500,2262999,289
11884232,12504,2261329,288
11896732,12500,2262474,288
11909232,12500,2264623,289
11921732,12500,2264435,289
11934236,12504,2262153,288
11946736,12500,2261383,288
11959236,12500,2263389,289
11971736,12500,2265098,289
11984236,12500,2261662,288
11996740,12504,2261848,288
12009240,12500,2264058,289
12021744,12504,2264617,289
12034244,12500,2262756,288
12046744,12500,2261366,288
12059244,12500,2262598,289
12071744,12500,2264566,289
12084244,12500,2261771,288
12096744,12500,2261539,288
12109244,12500,2263722,289
12121744,12500,2264673,289
12134244,12500,2262990,288
12146744,12500,2261328,288
12159244,12500,2262247,289
12171744,12500,2264251,289
12184244,12500,2264161,288
12196748,12504,2261500,288
12209248,12500,2263192,289
12221748,12500,2264567,289
12234252,12504,2263346,288
12246752,12500,2261982,288
12259252,12500,2262376,289
12271756,12504,2263837,289
12284256,12500,2264046,288
12296756,12500,2261885,288
12309260,12504,2263109,289
12321764,12504,2264369,289
12334264,12500,2263507,288
12346764,12500,2261887,288
12359264,12500,2262003,289
12371764,12500,2263565,289
12384268,12504,2264140,288
12396768,12500,2262908,288
12409272,12504,2262766,289
12421776,12504,2264017,289
12434280,12504,2263490,288
12446780,12500,2262016,288
12459284,12504,2262263,289
12471788,12504,2263708,289
12484292,12504,2264016,288
12496796,12504,2262709,288
12509296,12500,2262576,289
12521796,12500,2263665,289
12534296,12500,2263237,288
12546796,12500,2262185,288
12559300,12504,2262088,289
12571800,12500,2263025,289
12584300,12500,2263541,288
12596800,12500,2262803,288
12609304,12504,2261816,289
12621804,12500,2263127,289
12634304,12500,2263137,288
12646804,12500,2262403,288
