Time (ms),Sensor 0 (raw),Sensor 1 (raw),Sensor 2 (raw)
2172,329,291,253
2176,381,351,315
2180,431,403,370
2184,442,426,404
2188,418,418,410
2192,356,373,382
2196,279,305,328
2200,198,229,260
2204,139,167,197
2208,108,127,150
2212,115,118,129
2216,152,140,135
2220,201,180,163
2224,277,245,216
2228,352,317,280
2232,408,376,341
2236,429,410,383
2240,421,415,401
2244,372,383,385
2248,306,327,343
2252,226,256,283
2256,165,192,221
2260,122,144,169
2264,118,125,139
2268,132,129,132
2272,185,166,154
2276,252,224,199
2280,324,291,257
2284,383,352,317
2288,415,393,365
2292,416,407,389
2296,385,388,385
2300,326,342,353
2304,274,293,311
2308,204,231,256
2312,153,176,201
2316,129,143,162
2320,135,137,145
2324,170,160,154
2328,230,206,186
2332,297,266,237
2336,360,328,295
2340,396,373,344
2344,412,397,375
2348,399,395,385
2352,358,367,370
2356,297,317,332
2360,228,254,278
2364,175,197,223
2368,142,158,179
2372,138,144,155
2376,161,155,154
2380,214,194,179
2384,272,245,221
2388,336,306,275
2392,368,346,319
2396,396,378,355
2400,395,386,372
2404,366,370,368
2408,316,330,340
2412,254,275,294
2416,198,220,243
2420,160,178,199
2424,147,156,170
2428,159,157,160
2432,187,175,168
2436,236,216,198
2440,296,270,244
2444,350,323,293
2448,380,359,334
2452,391,379,360
2456,370,370,364
2460,332,341,346
2464,274,292,307
2468,219,240,260
2472,176,195,216
2476,160,170,185
2480,156,158,166
2484,180,172,168
2488,225,207,193
2492,275,252,230
2496,327,301,275
2500,364,342,316
2504,380,366,347
2508,371,367,357
2512,342,347,347
2516,293,307,318
2520,253,268,283
2524,207,224,242
2528,174,188,205
2532,164,170,180
2536,176,173,174
2540,210,197,188
2544,257,236,218
2548,310,284,259
2552,346,324,300
2556,372,355,334
2560,370,362,349
2564,356,355,350
2568,317,326,331
2572,274,288,300
2576,224,242,259
2580,191,205,221
2584,171,180,193
2588,177,177,181
2592,201,192,187
2596,245,226,211
2600,287,266,245
2604,322,302,281
2608,351,334,313
2612,365,352,336
2616,355,351,343
2620,330,334,335
2624,289,301,310
2628,244,259,274
2632,208,221,237
2636,183,194,207
2640,179,183,190
2644,196,190,188
2648,220,208,199
2652,263,244,227
2656,303,283,262
2660,338,319,297
2664,355,341,323
2668,355,348,337
2672,334,336,334
2676,302,310,315
2680,260,272,284
2684,223,237,250
2688,201,211,222
2692,186,193,201
2696,191,190,192
2700,212,204,198
2704,250,234,220
2708,288,269,250
2712,322,303,282
2716,343,328,310
2720,350,341,328
2724,336,335,330
2728,311,315,317
2732,285,292,298
2736,248,260,271
2740,216,228,240
2744,195,204,214
2748,193,195,199
2752,208,202,200
2756,239,226,215
2760,274,256,240
2764,310,290,271
2768,333,317,299
2772,345,334,320
2776,341,337,328
2780,323,324,322
2784,294,301,305
2788,260,271,280
