Times (us),interval (us),strain (raw),sensorValue0 (raw)
7178072,12500,-5988968,282
7190576,12504,-5991106,282
7203080,12504,-5993133,282
7215580,12500,-6007588,282
7228080,12500,-6018819,282
7240580,12500,-6001611,282
7253080,12500,-5978556,282
7265580,12500,-5971081,282
7278084,12504,-5963194,282
7290584,12500,-5965216,282
7303084,12500,-5967906,282
7315584,12500,-5971065,282
7328088,12504,-5985496,282
7340588,12500,-6001657,282
7353088,12500,-5987040,282
7365588,12500,-5979090,282
7378088,12500,-5976674,282
7390588,12500,-5976034,282
7403088,12500,-5981097,282
7415588,12500,-5977926,282
7428088,12500,-5974811,282
7440592,12504,-5973618,282
7453096,12504,-5978376,282
7465600,12504,-5984445,282
7478104,12504,-5983783,282
7490604,12500,-5973355,282
7503108,12504,-5968157,282
7515608,12500,-5963677,282
7528108,12500,-5966844,282
7540608,12500,-5972364,282
7553108,12500,-5969225,282
7565612,12504,-5967822,282
7578112,12500,-5969914,282
7590612,12500,-5973090,282
7603112,12500,-5966334,282
7615616,12504,-5961114,282
7628116,12500,-5969842,282
7640616,12500,-5999640,282
7653116,12500,-5991064,282
7665616,12500,-5992300,282
7678116,12500,-5987251,282
7690616,12500,-5984657,282
7703116,12500,-5983149,282
7715616,12500,-5981459,282
7728120,12504,-5981051,282
7740620,12500,-5980312,282
7753120,12500,-5983783,282
7765624,12504,-5996552,282
7778128,12504,-6006794,282
7790632,12504,-6006399,282
7803136,12504,-5997060,282
7815636,12500,-5985975,282
7828136,12500,-5982499,282
7840640,12504,-5982025,282
7853140,12500,-5976096,282
7865640,12500,-5974762,282
7878140,12500,-5977677,282
7890640,12500,-5989147,282
7903140,12500,-5996838,282
7915644,12504,-5989561,282
7928144,12500,-5983322,282
7940648,12504,-5981867,282
7953148,12500,-5977321,282
7965648,12500,-5977021,282
7978148,12500,-5980368,282
7990648,12500,-5985064,282
8003148,12500,-5979600,282
8015648,12500,-5983232,282
8028148,12500,-5991998,282
8040648,12500,-5991687,282
8053148,12500,-5978347,282
8065648,12500,-5975263,282
8078152,12504,-5975286,282
8090652,12500,-5976364,282
8103156,12504,-5974312,281
8115656,12500,-5980380,282
8128156,12500,-5973809,282
8140656,12500,-5967860,282
8153156,12500,-5973800,281
8165660,12504,-5973448,282
8178160,12500,-5964547,282
8190664,12504,-5961946,282
8203168,12504,-5962395,282
8215672,12504,-5972887,282
8228172,12500,-5987122,282
8240672,12500,-5981263,282
8253172,12500,-5970730,281
8265676,12504,-5973713,282
8278180,12504,-6004362,282
8290680,12500,-5998091,282
8303180,12500,-5995950,281
8315680,12500,-5997091,282
8328184,12504,-5982061,282
8340688,12504,-5996086,282
8353188,12500,-6019789,281
8365692,12504,-6033824,282
8378192,12500,-6040177,282
8390692,12500,-6038121,282
8403196,12504,-6027708,282
8415700,12504,-6023603,282
8428200,12500,-6019140,282
8440704,12504,-6018392,282
8453208,12504,-6024701,282
8465708,12500,-6031790,282
8478208,12500,-6038839,282
8490708,12500,-6040169,282
8503212,12504,-6039416,282
8515712,12500,-6033699,282
8528212,12500,-6029989,282
8540712,12500,-6020051,282
8553216,12504,-6014148,281
8565720,12504,-6013273,282
8578220,12500,-6026188,282
8590724,12504,-6036981,282
8603224,12500,-6021495,281
8615724,12500,-6009405,282
8628228,12504,-6019733,282
8640732,12504,-6011587,282
8653232,12500,-6019269,282
8665732,12500,-6030427,282
8678232,12500,-6029357,282
8690732,12500,-6029713,282
8703232,12500,-6040259,282
8715732,12500,-6043616,282
8728232,12500,-6042025,282
8740732,12500,-6037093,282
8753232,12500,-6031066,282
8765736,12504,-6028207,282
8778236,12500,-6029033,282
8790736,12500,-6031343,282
8803240,12504,-6033444,282
8815740,12500,-6035599,282
8828240,12500,-6040217,282
8840740,12500,-6038419,282
8853240,12500,-6036694,282
8865740,12500,-6032023,282
8878240,12500,-6023696,282
8890740,12500,-6023789,282
8903240,12500,-6033865,282
8915740,12500,-6026831,282
8928240,12500,-6031377,282
8940744,12504,-6038347,282
8953248,12504,-6033903,282
8965748,12500,-6032929,282
8978248,12500,-6032680,282
8990752,12504,-6032277,282
9003252,12500,-6031207,282
