Times (us),interval (us),strain (raw),sensorValue0 (raw)
7112564,12500,2310745,293
7125064,12500,2310367,293
7137564,12500,2309230,293
7150064,12500,2308265,293
7162564,12500,2308399,293
7175064,12500,2309491,293
7187564,12500,2310416,293
7200064,12500,2309606,293
7212564,12500,2308575,293
7225064,12500,2308369,293
7237564,12500,2309088,293
7250064,12500,2310149,293
7262564,12500,2310671,293
7275064,12500,2310154,293
7287568,12504,2309315,293
7300068,12500,2309025,293
7312568,12500,2309694,293
7325072,12504,2310159,293
7337572,12500,2309956,293
7350076,12504,2309443,293
7362576,12500,2309048,293
7375076,12500,2309085,293
7387576,12500,2309452,293
7400076,12500,2309856,293
7412576,12500,2309400,293
7425076,12500,2308984,293
7437580,12504,2309117,293
7450080,12500,2309414,293
7462584,12504,2309772,293
7475088,12504,2309948,293
7487592,12504,2309908,293
7500092,12500,2309481,293
7512592,12500,2308961,293
7525092,12500,2309363,293
7537592,12500,2309655,293
7550092,12500,2309905,293
7562592,12500,2309889,293
7575096,12504,2309703,293
7587596,12500,2309389,293
7600096,12500,2309195,293
7612600,12504,2309300,293
7625104,12504,2309765,293
7637604,12500,2309853,293
7650108,12504,2309754,293
7662608,12500,2309374,293
7675108,12500,2309288,293
7687612,12504,2309274,293
7700112,12500,2309537,293
7712612,12500,2309880,293
7725116,12504,2309385,293
7737616,12500,2309325,293
7750120,12504,2309366,293
7762624,12504,2309577,293
7775124,12500,2309653,293
7787624,12500,2309713,293
7800124,12500,2309469,293
7812624,12500,2309253,293
7825124,12500,2309365,293
7837628,12504,2309685,293
7850128,12500,2309747,293
7862628,12500,2309634,293
7875128,12500,2309435,293
7887628,12500,2309351,293
7900128,12500,2309363,293
7912628,12500,2309551,293
7925128,12500,2309848,293
7937628,12500,2309373,293
7950128,12500,2309182,293
7962632,12504,2309249,293
7975132,12500,2309702,293
7987632,12500,2309990,293
8000132,12500,2309798,293
8012632,12500,2309148,293
8025132,12500,2308487,293
8037636,12504,2308653,293
8050140,12504,2310369,293
8062640,12500,2310463,293
8075140,12500,2309799,293
8087640,12500,2309039,293
8100144,12504,2308723,293
8112644,12500,2309005,293
8125144,12500,2309617,293
8137644,12500,2310057,293
8150148,12504,2309531,293
8162648,12500,2308983,293
8175148,12500,2308913,293
8187652,12504,2309462,293
8200152,12500,2310175,293
8212652,12500,2310423,293
8225152,12500,2309810,293
8237652,12500,2309108,293
8250152,12500,2308899,293
8262652,12500,2310057,293
8275156,12504,2310049,293
8287656,12500,2309639,293
8300156,12500,2309009,293
8312656,12500,2308664,293
8325156,12500,2309132,293
8337656,12500,2309920,293
8350160,12504,2310368,293
8362664,12504,2309273,293
8375168,12504,2308915,292
8387668,12500,2309358,292
8400168,12500,2309983,292
8412668,12500,2310231,292
8425168,12500,2310015,292
8437668,12500,2309469,292
8450168,12500,2309123,292
8462668,12500,2309132,292
8475168,12500,2310042,292
8487672,12504,2309956,292
8500176,12504,2309450,292
8512676,12500,2309187,292
8525176,12500,2309288,292
8537676,12500,2309632,292
8550180,12504,2309736,292
8562680,12500,2309672,292
8575180,12500,2309787,292
8587680,12500,2310040,292
8600180,12500,2310025,292
8612680,12500,2309449,292
8625180,12500,2309091,292
8637680,12500,2309380,292
8650180,12500,2309846,292
8662684,12504,2310353,292
8675184,12500,2310283,292
8687684,12500,2309111,292
8700184,12500,2308939,292
8712684,12500,2309463,292
8725184,12500,2310432,292
8737684,12500,2310908,292
8750188,12504,2310315,292
8762692,12504,2308938,292
8775192,12500,2308191,292
8787696,12504,2310176,292
8800200,12504,2311120,292
8812700,12500,2310716,292
8825200,12500,2309535,292
8837704,12504,2308711,292
8850204,12500,2308865,292
8862704,12500,2309778,292
8875204,12500,2310559,292
8887704,12500,2310426,292
8900208,12504,2308834,292
8912708,12500,2308978,292
8925208,12500,2309803,292
8937708,12500,2310293,292
8950208,12500,2310244,292
8962708,12500,2309741,292
8975212,12504,2308981,292
8987712,12500,2308924,292
9000212,12500,2310786,292
9012712,12500,2311150,292
9025212,12500,2310269,292
9037716,12504,2308837,292
9050216,12500,2307964,292
9062716,12500,2308799,292
9075216,12500,2310582,292
9087720,12504,2311574,292
9100220,12500,2310891,292
9112720,12500,2307634,292
9125220,12500,2308170,292
9137724,12504,2310241,292
9150224,12500,2311823,292
9162728,12504,2311459,292
9175228,12500,2309623,292
9187732,12504,2307945,292
9200236,12504,2307852,292
9212736,12500,2311274,292
9225236,12500,2311818,292
9237736,12500,2310424,292
9250240,12504,2308419,292
9262740,12500,2307480,292
9275244,12504,2308330,292
9287744,12500,2310309,292
