"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.575470292E0,-1.393174997E0,-1.388207933E0,-1.424302211E0,2.428311064E0
1.585422292E0,-2.395299321E0,-1.693976966E0,-5.884485805E-1,2.992204627E0
1.595374292E0,-2.889538440E0,-1.449711871E0,4.325507015E-1,3.261624904E0
1.605327292E0,-3.102288796E0,-1.287443451E0,1.182102425E0,3.560768535E0
1.615279292E0,-3.148298782E0,-1.387378213E0,1.710632175E0,3.842247515E0
1.625231292E0,-2.744888265E0,-9.627844030E-1,2.559829152E0,3.874802018E0
1.635185417E0,-1.161981426E0,2.118721050E-1,2.828571276E0,3.065274227E0
1.645138417E0,-1.332262505E-1,1.542591968E0,2.958001149E0,3.338728801E0
1.655090417E0,4.491670266E-2,2.163934645E0,2.908540136E0,3.625498087E0
1.665042417E0,1.220660720E-1,2.780068038E0,2.777660154E0,3.931802939E0
1.674994417E0,2.477846072E-1,3.360308297E0,2.788081062E0,4.373381423E0
1.684947417E0,-6.938366027E-1,3.478460644E0,2.936799145E0,4.604985006E0
1.694899417E0,-2.310446281E0,1.992290799E0,2.677086875E0,4.058839586E0
1.704851417E0,-2.544888346E0,-2.130574526E0,2.967665427E0,4.452285097E0
1.714804417E0,-2.598255591E0,-5.373090663E0,1.957582312E0,6.281175359E0
1.724756417E0,-2.119050394E0,-6.038739447E0,-1.356604317E0,6.541951082E0
1.734708417E0,-3.717325324E-1,-4.763528956E0,-4.620100265E0,6.646406521E0
1.744660417E0,7.595978983E-1,-2.151128073E0,-6.249372527E0,6.652743640E0
1.754613417E0,2.358686687E0,-1.339825147E-1,-2.833456040E0,3.689149947E0
1.764565417E0,4.760286675E0,1.284295895E0,1.338798376E0,5.109024003E0
1.774517417E0,6.934850973E0,3.154310305E0,9.525640547E-1,7.677838876E0
1.784469417E0,6.329407461E0,2.330780851E0,-1.988117056E0,7.031823918E0
1.794422417E0,5.737017857E0,4.905229211E-1,-3.050176072E0,6.515946646E0
1.804374417E0,4.931129453E0,1.701207048E0,-1.801160522E0,5.518543497E0
1.814326417E0,3.622915522E0,1.349739686E0,-1.161774507E0,4.036958522E0
1.824278417E0,2.836510625E0,-9.209364653E-1,-4.069673789E-1,3.009906801E0
1.834231417E0,2.151305244E0,-3.434655644E0,1.146084089E0,4.211707775E0
1.844183417E0,1.124666688E0,-3.904100522E0,2.631061687E0,4.840388584E0
1.854135417E0,1.571007244E0,-9.282823223E-1,4.216492111E0,4.594407204E0
1.864087417E0,1.479661456E0,1.870210643E1,-3.502820145E0,1.908475653E1
1.874040417E0,6.300756104E0,1.692038497E1,-9.287477607E-1,1.807931214E1
1.883992417E0,4.664119858E0,3.346798305E0,-1.818191122E0,6.021701745E0
1.893944417E0,3.143339978E-1,-1.179433683E0,-8.996984425E0,9.079405179E0
1.903896417E0,-2.635227828E0,-5.716936764E0,-6.222461302E0,8.851373697E0
1.913849417E0,-4.778436725E0,2.103460402E0,-3.797547880E0,6.455956405E0
1.923801417E0,-8.880939706E-1,-7.487903434E-1,2.609593342E-1,1.190587104E0
1.933753417E0,-1.274454007E0,-5.421563496E0,3.168057693E0,6.407353065E0
1.943705417E0,-5.605191211E0,-5.142330882E0,2.804731008E0,8.107296185E0
1.953658417E0,-8.846157251E0,-2.614884195E0,1.415430815E0,9.332500300E0
1.963610417E0,-9.853303310E0,-1.791661720E0,1.713177907E0,1.016034529E1
1.973562417E0,-7.346140614E0,-5.096601562E0,3.022687141E0,9.438101873E0
1.983515417E0,-6.602696965E0,-4.187473549E0,2.046261623E0,8.081938416E0
1.993467417E0,-5.438720981E0,-3.544525411E0,2.869922200E0,7.097872902E0
2.003419417E0,-3.299015443E0,-2.264633639E0,5.564202229E0,6.853642452E0
2.013371417E0,-1.930567591E0,-3.572742319E-1,8.551938808E0,8.774416988E0
2.023324417E0,-1.053325248E0,8.529491347E-1,9.359342226E0,9.456971143E0
2.033276417E0,-1.000340192E-1,1.783879076E0,5.821722962E0,6.089719994E0
