"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.565290042E0,6.312822418E0,1.375504623E1,-7.347770233E0,1.682387444E1
1.575242042E0,5.678591309E0,1.412792084E1,-6.017636261E0,1.637243087E1
1.585195042E0,5.443430328E0,1.362586487E1,-3.697311401E0,1.513159736E1
1.595147042E0,4.978347473E0,1.305764648E1,-1.986069946E0,1.411490521E1
1.605100042E0,4.841382294E0,1.284164566E1,-1.610351257E0,1.381810685E1
1.615053042E0,5.538183289E0,1.236294113E1,-2.424508209E0,1.376197761E1
1.625005042E0,6.372847595E0,1.162572418E1,-2.678080902E0,1.352563368E1
1.634958042E0,3.408711548E0,1.157318344E1,-4.549189911E0,1.289391400E1
1.644911042E0,1.194815369E0,1.064735870E1,-1.992506561E0,1.089788574E1
1.654863042E0,1.749861145E0,9.410331116E0,-9.653425598E-1,9.620199166E0
1.664816042E0,2.876268768E0,8.455317078E0,-2.890040131E0,9.387099705E0
1.674768042E0,2.559826813E0,7.887248383E0,-2.438878326E0,8.643467351E0
1.684721042E0,-1.372645569E-1,7.353308716E0,-2.439177704E0,7.748521052E0
1.694674042E0,-1.003812561E0,7.054979095E0,-1.091979218E0,7.209215513E0
1.704626042E0,-1.276246033E0,7.446265411E0,-5.533992004E-1,7.575085688E0
1.714579042E0,-1.035845947E0,7.732769623E0,-6.710545349E-1,7.830646018E0
1.724532042E0,-2.773731995E-1,7.713759155E0,-1.206491089E-1,7.719687326E0
1.734484042E0,8.313711548E-1,8.121361542E0,1.169068909E-1,8.164640746E0
1.744437042E0,2.134112091E0,8.619226227E0,7.800279236E-1,8.913693888E0
1.754390042E0,3.793710938E0,9.325008545E0,-1.242416382E-2,1.006718339E1
1.764342042E0,4.866979065E0,9.820478210E0,-1.024469604E0,1.100812498E1
1.774295042E0,4.973108368E0,1.004291565E1,-1.989812164E0,1.138206106E1
1.784247042E0,4.360133057E0,1.006896149E1,-2.419269104E0,1.123599611E1
1.794200042E0,3.728746033E0,1.011611343E1,-2.691552887E0,1.111232446E1
1.804153042E0,3.220253448E0,1.011761032E1,-2.438429260E0,1.089412723E1
1.814105042E0,2.881956940E0,1.014650024E1,-2.102078705E0,1.075527210E1
1.824058042E0,2.469414825E0,1.010563522E1,-1.530567169E0,1.051496594E1
1.834011042E0,2.075583801E0,1.001432510E1,-1.042581940E0,1.028016209E1
1.843963042E0,1.738185425E0,9.756561127E0,-8.970845032E-1,9.950705211E0
1.853916042E0,1.285077667E0,9.386979675E0,-1.303339691E0,9.563760055E0
