"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.373758125E0,-2.511028290E0,4.094285889E0,6.039490814E0,7.716468707E0
1.383711125E0,-2.562670898E0,4.794978790E0,4.550537109E0,7.089886580E0
1.393664125E0,-2.503843231E0,5.323080597E0,2.949017487E0,6.580358813E0
1.403618125E0,-2.544109497E0,5.425018616E0,1.782942352E0,6.251576085E0
1.413571125E0,-2.749482422E0,5.595963135E0,1.472038879E0,6.406352742E0
1.423525125E0,-3.065625000E0,6.446045380E0,1.894610138E0,7.385059597E0
1.433478125E0,-2.788551178E0,7.396868134E0,3.712429962E0,8.733373465E0
1.443432125E0,-1.661694489E0,7.677983551E0,5.381010132E0,9.521970911E0
1.453385125E0,-1.206341400E0,7.820636902E0,5.731581116E0,9.770805658E0
1.463339125E0,-1.374292145E0,7.899373169E0,5.126239929E0,9.516675426E0
1.473292125E0,-1.324296112E0,7.855664063E0,3.442092133E0,8.678318749E0
1.483246125E0,-1.508562927E0,8.943601685E0,9.861492920E-1,9.123391016E0
1.493199125E0,-1.193318481E0,1.162512543E1,-1.368154907E0,1.176602728E1
1.503152125E0,-2.073188782E-1,1.049796936E1,1.464853821E0,1.060170451E1
1.513106125E0,-9.551637268E-1,8.694669342E0,4.419110413E0,9.799905589E0
1.523059125E0,-9.857002258E-1,8.401728516E0,6.305337982E0,1.055073145E1
1.533013125E0,-3.209326172E-1,1.089135132E1,9.279802551E0,1.431220691E1
1.542966125E0,1.086141357E0,1.443478271E1,4.258045349E0,1.508885699E1
1.552920125E0,1.616787872E0,1.731748810E1,4.941224670E-1,1.739981477E1
1.562873125E0,1.099613342E0,1.504551270E1,1.484163666E0,1.515847431E1
1.572827125E0,1.106349335E0,1.340462494E1,9.026229858E-1,1.348045648E1
1.582780125E0,1.149010620E0,1.547392181E1,2.331850891E0,1.569076194E1
1.592734125E0,2.841091919E0,1.301752991E1,2.837050323E0,1.362265549E1
1.602687125E0,1.538201294E0,1.134954849E1,5.226681061E0,1.258953967E1
1.612640125E0,-3.472778320E-1,1.120195541E1,3.927083588E0,1.187545336E1
1.622594125E0,-1.112187195E-1,1.035471725E1,1.954485626E0,1.053814752E1
1.632547125E0,-2.359094238E-1,9.701026611E0,4.319866791E0,1.062199697E1
1.642501125E0,-4.697232056E-1,9.907447357E0,5.652844849E0,1.141633951E1
1.652454125E0,-4.144880676E-1,1.031220566E1,6.345753937E0,1.211536128E1
1.662408125E0,-7.363188171E-1,1.052790710E1,5.359005890E0,1.183629746E1
1.672361125E0,-1.022673340E0,8.958420868E0,3.532504120E0,9.683891292E0
1.682315125E0,7.315287781E-1,-3.766467590E0,1.199904785E0,4.020097506E0
1.692268125E0,-2.800077209E0,-6.162235565E0,6.185137939E0,9.168942735E0
1.702222125E0,-2.776725769E0,-3.203338623E-1,1.515583328E1,1.541142765E1
1.712175125E0,-7.864645386E-1,6.056106262E0,-6.081852722E-1,6.137168635E0
1.722128125E0,-2.918331299E0,1.076351715E1,1.023152344E1,1.513453108E1
1.732082125E0,-3.035088501E0,1.691901672E1,8.861572266E-1,1.721191923E1
1.742035125E0,-3.559298401E0,1.797312469E1,5.627248077E0,1.916683952E1
1.751989125E0,-3.400478668E0,1.780337769E1,-6.286926270E-3,1.812521867E1
1.761942125E0,-4.265529785E0,1.338845856E1,4.378694458E0,1.471796630E1
1.771896125E0,-3.603157196E0,9.266480255E0,2.335593109E0,1.021300119E1
1.781849125E0,-3.894301758E0,6.340365143E0,4.536166992E0,8.714506716E0
1.791803125E0,-2.094594269E0,5.242548065E0,4.989574127E0,7.534420040E0
1.801756125E0,-1.226549377E0,4.895270233E0,5.319488068E0,7.332465297E0
1.811710125E0,-1.234033813E0,5.429808655E0,3.692072296E0,6.681097164E0
1.821663125E0,-1.816921692E0,5.710475006E0,3.166215820E0,6.777584514E0
1.831616125E0,-1.070424042E0,5.717809753E0,2.174078979E0,6.210134895E0
1.841570125E0,-5.885760498E-1,5.954018555E0,3.332370300E0,6.848463370E0
1.851523125E0,8.982820129E-1,9.064250793E0,2.191742249E0,9.368633150E0
1.861477125E0,1.755848694E0,1.233105743E1,-1.528321838E0,1.254885452E1
1.871430125E0,1.739233246E0,1.407672729E1,-2.261347504E0,1.436289929E1
